GDP,Year,iso,totrev,tottax,democracy,lGDP
1.27131E+13,2000,USA,27.62464814,21.30461178,1,30.17365079
1.28371E+13,2001,USA,26.69132658,20.22049761,1,30.18336329
1.30664E+13,2002,USA,24.45193247,18.06193236,1,30.20106692
1.34332E+13,2003,USA,23.92520856,17.59526639,1,30.228748
1.39417E+13,2004,USA,24.12314536,17.83215979,1,30.26590643
1.44081E+13,2005,USA,25.58970345,19.22739898,1,30.29881124
1.47923E+13,2006,USA,26.5257255,19.97096443,1,30.32512815
1.50554E+13,2007,USA,26.72574404,20.03973421,1,30.34275753
1.50115E+13,2008,USA,25.69926776,18.94313526,1,30.33983706
1.45948E+13,2009,USA,23.58189091,16.29360786,1,30.31168931
1.50E+13,2010,USA,24.31456657,16.88500561,1,30.33669329
1.34274E+12,2000,CAN,39.20299071,30.58156779,1,27.9257311
1.36651E+12,2001,CAN,37.65103011,29.35107457,1,27.94328432
1.40765E+12,2002,CAN,36.04111692,28.1472146,1,27.97294037
1.43302E+12,2003,CAN,36.0090482,27.74133974,1,27.99080262
1.47724E+12,2004,CAN,35.95367058,27.92100756,1,28.02119564
1.52453E+12,2005,CAN,36.20831981,27.92967796,1,28.0527077
1.56453E+12,2006,CAN,36.6387648,28.03937061,1,28.07860362
1.5968E+12,2007,CAN,36.58589384,27.89522304,1,28.09902123
1.61277E+12,2008,CAN,35.33646601,26.77990608,1,28.10897513
1.5652E+12,2009,CAN,35.63152878,27.55477397,1,28.07903551
1.61346E+12,2010,CAN,34.63849934,26.46023392,1,28.1094048
7372273462,2000,BHS,14.80973451,13.62928255,1,22.72099197
7565841874,2001,BHS,14.10925272,12.58401105,1,22.74690946
7770469866,2002,BHS,12.75682667,11.48640414,1,22.77359647
7672193266,2003,BHS,12.96733343,11.85638221,1,22.76086837
7739929850,2004,BHS,13.31350437,12.03500141,1,22.76965846
8002723121,2005,BHS,14.32351414,12.7665196,1,22.80304771
8204140766,2006,BHS,16.07431584,14.35659051,1,22.82790484
