Name,Year,Position,Games,Attempts,Yards,TDs
"Donnel Pumphrey, San Diego St. (Mountain West)",Sr.,RB,14.00,349.00,2133.00,17.00
"D'Onta Foreman, Texas (Big 12)",Jr.,RB,11.00,323.00,2028.00,15.00
"Brian Hill, Wyoming (Mountain West)",Jr.,RB,14.00,349.00,1860.00,22.00
"Aaron Jones, UTEP (Conference USA)",Jr.,RB,12.00,229.00,1773.00,17.00
"Dalvin Cook, Florida St. (Atlantic Coast)",Jr.,RB,13.00,288.00,,19.00
"Jeremy McNichols, Boise St. (Mountain West)",Jr.,RB,13.00,314.00,1709.00,23.00
"James Flanders, Tulsa (AAC)",Sr.,RB,13.00,258.00,1629.00,18.00
"Anthony Wales, Western Ky. (Conference USA)",Sr.,RB,13.00,237.00,1621.00,27.00
"Christian McCaffrey, Stanford (Pac-12)",Jr.,RB,11.00,253.00,1603.00,13.00
"Lamar Jackson, Louisville (Atlantic Coast)",So.,QB,13.00,260.00,1571.00,21.00
"I'Tavius Mathers, Middle Tenn. (Conference USA)",Sr.,RB,13.00,232.00,1561.00,17.00
"Quinton Flowers, South Fla. (AAC)",Jr.,QB,13.00,198.00,1530.00,18.00
"Justin Jackson, Northwestern (Big Ten)",Jr.,RB,13.00,298.00,1524.00,15.00
"Saquon Barkley, Penn St. (Big Ten)",So.,RB,14.00,272.00,1496.00,18.00
"Kareem Hunt, Toledo (Mid-American)",Sr.,RB,13.00,262.00,1475.00,10.00
"Ito Smith, Southern Miss. (Conference USA)",Jr.,RB,13.00,265.00,1459.00,17.00
"D'Angelo Brewer, Tulsa (AAC)",Jr.,RB,12.00,264.00,1435.00,7.00
"Joe Williams, Utah (Pac-12)",Sr.,RB,9.00,210.00,1407.00,10.00
"Jalin Moore, Appalachian St. (Sun Belt)",So.,RB,13.00,237.00,1402.00,10.00
"Derrius Guice, LSU (Southeastern)",So.,RB,12.00,183.00,1387.00,15.00
"Corey Clement, Wisconsin (Big Ten)",Sr.,RB,13.00,314.00,1375.00,15.00
"Nick Fitzgerald, Mississippi St. (Southeastern)",So.,QB,13.00,195.00,1375.00,16.00
"Jamaal Williams, BYU (FBS Independent)",Sr.,RB,10.00,234.00,1375.00,12.00
"Myles Gaskin, Washington (Pac-12)",So.,RB,14.00,237.00,1373.00,10.00
"Rawleigh Williams, Arkansas (Southeastern)",So.,RB,13.00,245.00,1360.00,12.00
"Jarvion Franklin, Western Mich. (Mid-American)",Jr.,RB,14.00,248.00,1353.00,12.00
"James Butler, Nevada (Mountain West)",Jr.,RB,12.00,260.00,1336.00,12.00
"James Gilbert, Ball St. (Mid-American)",So.,RB,12.00,251.00,1332.00,12.00
"Jordan Chunn, Troy (Sun Belt)",Jr.,RB,13.00,279.00,1288.00,16.00
"Ralph Webb, Vanderbilt (Southeastern)",Jr.,RB,13.00,250.00,1283.00,13.00
"Joe Mixon, Oklahoma (Big 12)",So.,RB,12.00,187.00,1274.00,10.00
"Teriyon Gipson, New Mexico (Mountain West)",Sr.,RB,11.00,145.00,1269.00,13.00
"Ray Lawry, Old Dominion (Conference USA)",Jr.,RB,12.00,,1255.00,11.00
"Phillip Lindsay, Colorado (Pac-12)",Jr.,RB,14.00,244.00,1252.00,16.00
"Kamryn Pettway, Auburn (Southeastern)",So.,RB,10.00,209.00,1224.00,7.00
"Will Worth, Navy (AAC)",Sr.,QB,12.00,264.00,1198.00,25.00
"Marlon Mack, South Fla. (AAC)",Jr.,RB,12.00,174.00,1187.00,15.00
"Justin Crawford, West Virginia (Big 12)",Jr.,RB,13.00,163.00,1184.00,4.00
"Stanley Williams, Kentucky (Southeastern)",Jr.,RB,13.00,171.00,1170.00,7.00
"Matt Dayes, North Carolina St. (Atlantic Coast)",Sr.,RB,13.00,249.00,1166.00,10.00
"Rodney Smith, Minnesota (Big Ten)",So.,RB,13.00,240.00,1158.00,16.00
"Justice Hill, Oklahoma St. (Big 12)",Fr.,RB,13.00,206.00,1142.00,6.00
"Wayne Gallman, Clemson (Atlantic Coast)",Jr.,RB,15.00,232.00,1133.00,17.00
"Nick Chubb, Georgia (Southeastern)",Jr.,RB,13.00,224.00,1130.00,8.00
"Elijah McGuire, Louisiana (Sun Belt)",Sr.,RB,13.00,232.00,1127.00,7.00
"Devine Redding, Indiana (Big Ten)",Jr.,RB,13.00,253.00,1122.00,7.00
"Mark Walton, Miami (FL) (Atlantic Coast)",So.,RB,13.00,209.00,1117.00,14.00
"Tyrone Owens, New Mexico (Mountain West)",Fr.,RB,12.00,137.00,1097.00,7.00
"Mike Weber, Ohio St. (Big Ten)",So.,RB,13.00,182.00,1096.00,9.00
"James Conner, Pittsburgh (Atlantic Coast)",Jr.,RB,13.00,216.00,1092.00,16.00
"Benny Snell, Kentucky (Southeastern)",Fr.,RB,13.00,186.00,1091.00,13.00
"Ronald Jones II, Southern California (Pac-12)",So.,RB,13.00,177.00,1082.00,12.00
"Akrum Wadley, Iowa (Big Ten)",Jr.,RB,13.00,168.00,1081.00,10.00
"Jarred Craft, Louisiana Tech (Conference USA)",Jr.,RB,14.00,191.00,1074.00,9.00
"Damarea Crockett, Missouri (Southeastern)",Fr.,RB,11.00,153.00,1062.00,10.00
"Samaje Perine, Oklahoma (Big 12)",Jr.,RB,10.00,196.00,1060.00,12.00
"Leshun, Jr. Daniels, Iowa (Big Ten)",Sr.,RB,13.00,213.00,1058.00,10.00
"Trayveon Williams, Texas A&M (Southeastern)",Fr.,RB,13.00,156.00,1057.00,8.00
"Terence Williams, Baylor (Big 12)",So.,RB,12.00,185.00,1048.00,11.00
"Kyle Hicks, TCU (Big 12)",Jr.,RB,13.00,203.00,1042.00,12.00
"Jordan Johnson, Buffalo (Mid-American)",Sr.,RB,12.00,200.00,1040.00,6.00
"Damien Harris, Alabama (Southeastern)",So.,RB,15.00,146.00,1037.00,2.00
"Braeden West, SMU (AAC)",So.,RB,12.00,202.00,1036.00,6.00
"Fred Coppet, Bowling Green (Mid-American)",Sr.,RB,12.00,204.00,1030.00,8.00
"Devin Singletary, Fla. Atlantic (Conference USA)",Fr.,RB,12.00,152.00,1021.00,12.00
"Rashaad Penny, San Diego St. (Mountain West)",Jr.,RB,14.00,136.00,1018.00,11.00
