"","state","state_abbr","firearm_death_rate","homicide_death_rate","total_points","background_checks","mental_health_reporting","ppl_misdemeanors","ppl_terror_list","ppl_abusers","ppl_juv_offenders","ppl_mentally_ill","bg_check_procedure","dv_scene","dv_order","dealer_regs","gun_records","multiple_firearms","waiting_periods","licensing_purchasers","registration","reporting_lost_or_stolen","concealed","open","in_bars","on_campus","in_state_parks","in_church","in_parking_areas","shoot_first","assault_weapons","lg_capacity","fifty_caliber","ammo_regs","min_age","safe_storage","owner_auth","child_access","design_standards","microstamping","local_laws","nullification","medical_gag"
"1","Alabama","AL",16.7,8.1,3.5,0,2,0,0,0.5,0,0,0,0,0,6,3,0,0,0,0,0,0,0,-1,0,-1,-1,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Alaska","AK",18.8,4.7,-7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,-1,-1,-2,-3,0,0,0,0,2,0,0,0,0,0,0,-1,0
"3","Arizona","AZ",13.4,5,-8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-3,0,-1,0,-1,-1,-2,-3,0,0,0,0,2,0,0,0,0,0,0,-1,0
"4","Arkansas","AR",16.4,7.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"5","California","CA",7.4,4.6,75,11,0,1,0,1,1,1,1,2,2,6,6,6,6,6,3,0,5,1,-1,0,-1,-1,0,0,3,3,1,0,2,1,0,1,2,2,4,0,0
"6","Colorado","CO",12.1,3.3,14.5,11,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,2,0,0,0,0,0,0.5,0,0,0,0,0
"7","Connecticut","CT",4.9,2.8,70,11,2,1,0,0,1,1,1,0,0,6,6,0,0,6,3,6,5,0.5,-1,0,0,-1,0,0,3,3,0.5,6,2,1,0,1,0,0,6,0,0
"8","Delaware","DE",11.1,6.6,34.5,11,2,1,0,1,1,1,0,0,0,6,0,0,0,0,0,6,5,0,-1,0,0,-1,0,0,0,0,0,0,2,0,0,0.5,0,0,0,0,0
"9","Florida","FL",11.5,6.2,3,0,0,1,0,1,1,1,1,0,0,0,0,0,3,0,0,0,0,1,0,0,-1,-1,-2,-3,0,0,0,0,2,0,0,1,0,0,0,0,-2
"10","Georgia","GA",13.7,6.6,2,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0.5,-1,0,-1,0,-2,-3,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"11","Hawaii","HI",2.6,2.2,58.5,3,0,1,0,1,1,1,1,2,0,6,6,0,6,6,6,0,5,0.5,0,-1,0,-1,0,0,1,3,0,0,2,0,0,1,2,0,6,0,0
"12","Idaho","ID",13.1,2.4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,-1,0
"13","Illinois","IL",9,6.2,45,6,2,1,0,1,1,1,1,2,2,0,0,0,3,6,0,6,0,1,0,0,-1,-1,-2,0,0,0,0,6,2,1,0,1,2,0,4,0,0
"14","Indiana","IN",12.3,5.7,4.5,0,2,1,0,0.5,0.5,0.5,0,0,0,6,0,0,0,0,0,0,0,0.5,-1,0,-1,-1,-2,-3,0,0,0,0,1,0,0,0.5,0,0,0,0,0
"15","Iowa","IA",7.4,2.5,14,0,2,1,0,0,1,0,0.5,2,0,0,0,0,3,3,0,0,0,0.5,-1,0,0,-1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
"16","Kansas","KS",11.3,3.6,-4,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-2,-3,0,0,0,0,0,0,0,0,0,0,0,-1,0
"17","Kentucky","KY",13.8,4.7,-3.5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-2,-3,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"18","Louisiana","LA",18.9,11.7,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,-3,0,0,0,0,2,0,0,0,0,0,0,0,0
"19","Maine","ME",9.3,2,3,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"20","Maryland","MD",9,6.7,66.5,6,2,1,0,1,1,1,0.5,2,0,6,3,6,3,3,3,6,5,0.5,-1,0,0,-1,0,0,3,3,0.5,6,2,1,0,1,2,0,0,0,0
"21","Massachusetts","MA",3.2,1.6,60.5,3,0,1,0,1,1,1,0,2,0,6,6,0,0,6,0,6,5,0.5,-1,0,-1,-1,0,0,3,3,0,6,2,2,0,1,2,0,6,0,0
"22","Michigan","MI",11.1,6.3,15,3,0,0,0,0,0,0.5,0.5,0,0,0,3,0,0,3,0,6,0,0,0,0,0,0,0,-3,0,0,0,0,1,1,0,0,0,0,0,0,0
