"state","state_abbr","gov_party","sen_party","house_party","percent_favorable_aca","percent_supporting_expansion","obama_share_12","ideology","percent_uninsured","infant_mortality_rate","cancer_incidence","heart_disease_death_rate","life_expectancy","leg_party","health_score","health_score_cat"
"Alabama","AL","Repubican Governor","Republican Senate","Republican House",38.2711,57.7616,38.7838,0.244044,14,9.2,472.9,236,75.4,"Unified Republican Legislature",-2.09999,"Bottom Tercile"
"Alaska","AK","Repubican Governor","Republican Senate","Republican House",37.4428,47.4247,42.6847,0.0472331,19,6.5,451.4,151.5,78.3,"Unified Republican Legislature",0.0484103,"Middle Tercile"
"Arizona","AZ","Repubican Governor","Republican Senate","Republican House",39.6722,53.2125,45.3866,0.104864,18,6.4,387.1,146.7,79.6,"Unified Republican Legislature",0.644463,"Top Tercile"
"Arkansas","AR","Democratic Governor","Republican Senate","Republican House",36.1624,54.4381,37.8456,0.226741,18,7.6,426.7,222.5,76,"Unified Republican Legislature",-1.53888,"Bottom Tercile"
"California","CA","Democratic Governor","Democratic Senate","Democratic House",56.0999,53.2616,61.8728,-0.1766,19,5.1,434,161.9,80.8,"Unified Democratic Legislature",1.19349,"Top Tercile"
"Colorado","CO","Democratic Governor","Democratic Senate","Democratic House",45.0012,58.3102,52.748,0.0142283,15,6.2,430,132.8,80,"Unified Democratic Legislature",0.924868,"Top Tercile"
"Connecticut","CT","Democratic Governor","Democratic Senate","Democratic House",52.2239,48.6246,58.7726,-0.234829,8,6.1,509.1,155.7,80.8,"Unified Democratic Legislature",1.09124,"Top Tercile"
"Delaware","DE","Democratic Governor","Democratic Senate","Democratic House",52.4637,59.5357,59.447,-0.109396,10,NA,502.6,175.7,78.4,"Unified Democratic Legislature",-0.112203,"Middle Tercile"
"Florida","FL","Repubican Governor","Republican Senate","Republican House",47.0229,54.912,50.4423,-0.0191535,21,7.1,439.5,162.3,79.4,"Unified Republican Legislature",0.350184,"Middle Tercile"
"Georgia","GA","Repubican Governor","Republican Senate","Republican House",46.0217,56.5251,46.0434,0.135669,19,7.8,461.4,192.6,77.2,"Unified Republican Legislature",-0.866596,"Bottom Tercile"
"Hawaii","HI","Democratic Governor","Democratic Senate","Democratic House",61.9655,59.5863,71.7038,-0.18767,8,6.1,453.3,134.7,81.3,"Unified Democratic Legislature",1.45634,"Top Tercile"
