congress,state,congressional_district,party,name,ideology_score
100.0, ALABAMA,1.0,Republican,  CALLAHAN,0.37299999594688416
100.0, ALABAMA,2.0,Republican,  DICKINSON,0.39800000190734863
100.0, ALABAMA,3.0,Democrat,  NICHOLS  B,-0.041999999433755875
100.0, ALABAMA,4.0,Democrat,  BEVILL  T,-0.21299999952316284
100.0, ALABAMA,5.0,Democrat,  FLIPPO  R,-0.17499999701976776
100.0, ALABAMA,6.0,Democrat,  ERDREICH  B,-0.05999999865889549
100.0, ALABAMA,7.0,Democrat,  HARRIS  C,-0.08500000089406967
100.0, ALASKA,1.0,Republican,  YOUNG  D,0.27900001406669617
100.0, ARIZONA,1.0,Republican,  RHODES  J,0.40700000524520874
100.0, ARIZONA,2.0,Democrat,  UDALL  M,-0.3869999945163727
100.0, ARIZONA,3.0,Republican,  STUMP  B,0.703000009059906
100.0, ARIZONA,4.0,Republican,  KYL  J,0.5479999780654907
100.0, ARIZONA,5.0,Republican,  KOLBE  J,0.35100001096725464
100.0, ARKANSA,1.0,Democrat,  ALEXANDER,-0.4099999964237213
100.0, ARKANSA,2.0,Democrat,  ROBINSON  T,-0.013000000268220901
100.0, ARKANSA,3.0,Republican,  HAMMERSCHMI,0.2529999911785126
100.0, ARKANSA,4.0,Democrat,  ANTHONY  B,-0.2540000081062317
100.0, CALIFOR,1.0,Democrat,  BOSCO  D,-0.2709999978542328
100.0, CALIFOR,2.0,Republican,  HERGER  W,0.5509999990463257
100.0, CALIFOR,3.0,Democrat,  MATSUI  R,-0.40400001406669617
100.0, CALIFOR,4.0,Democrat,  FAZIO  V,-0.45500001311302185
100.0, CALIFOR,5.0,Democrat,  PELOSI N,-0.49399998784065247
100.0, CALIFOR,6.0,Democrat,  BOXER  B,-0.44999998807907104
100.0, CALIFOR,7.0,Democrat,  MILLER  G,-0.5519999861717224
100.0, CALIFOR,8.0,Democrat,  DELLUMS  R,-0.6439999938011169
100.0, CALIFOR,9.0,Democrat,  STARK  F,-0.6309999823570251
100.0, CALIFOR,10.0,Democrat,  EDWARDS  D,-0.5989999771118164
100.0, CALIFOR,11.0,Democrat,  LANTOS  T,-0.37599998712539673
100.0, CALIFOR,12.0,Republican,  KONNYU  E,0.3720000088214874
100.0, CALIFOR,13.0,Democrat,  MINETA  N,-0.4790000021457672
100.0, CALIFOR,14.0,Republican,  SHUMWAY  N,0.5559999942779541
100.0, CALIFOR,15.0,Democrat,  COELHO  A,-0.4129999876022339
100.0, CALIFOR,16.0,Democrat,  PANETTA  L,-0.257999986410141
100.0, CALIFOR,17.0,Republican,  PASHAYAN  C,0.28200000524520874
100.0, CALIFOR,18.0,Democrat,  LEHMAN  R,-0.27000001072883606
100.0, CALIFOR,19.0,Republican,  LAGOMARSINO,0.3779999911785126
100.0, CALIFOR,20.0,Republican,  THOMAS  W,0.3709999918937683
100.0, CALIFOR,21.0,Republican,  GALLEGLY  E,0.4020000100135803
100.0, CALIFOR,22.0,Republican,  MOORHEAD  C,0.4650000035762787
