"legislator_id_number","party","state","year","ideology_score"
500,"Democrat","AR",1993,0.285
506,"Democrat","AR",1993,-0.013
509,"Democrat","AR",1993,0.258
513,"Democrat","AR",1993,0.161
519,"Democrat","AR",1993,0.125
525,"Democrat","AR",1993,-0.138
529,"Republican","AR",1993,0.294
531,"Democrat","AR",1993,0.049
552,"Democrat","AR",1993,-0.198
555,"Republican","AR",1993,-0.097
556,"Democrat","AR",1993,0.185
557,"Republican","AR",1993,0.648
566,"Democrat","AR",1993,0.2
568,"Democrat","AR",1993,0.125
571,"Democrat","AR",1993,0.09
573,"Democrat","AR",1993,0.142
581,"Democrat","AR",1993,0.166
586,"Democrat","AR",1993,0.19
602,"Democrat","AR",1993,-0.046
603,"Democrat","AR",1993,0.326
609,"Democrat","AR",1993,0.229
611,"Democrat","AR",1993,0.231
617,"Democrat","AR",1993,0.13
627,"Democrat","AR",1993,0.32
641,"Democrat","AR",1993,0.233
653,"Democrat","AR",1993,-0.002
655,"Democrat","AR",1993,0.173
661,"Democrat","AR",1993,0.284
663,"Democrat","AR",1993,-0.016
669,"Democrat","AR",1993,-0.093
681,"Democrat","AR",1993,0.188
694,"Democrat","AR",1993,0.187
699,"Democrat","AR",1993,0.206
701,"Democrat","AR",1993,0.162
707,"Democrat","AR",1993,0.182
709,"Republican","AR",1993,0.349
712,"Democrat","AR",1993,0.1
716,"Democrat","AR",1993,0.161
722,"Democrat","AR",1993,0.256
732,"Democrat","AR",1993,0.144
756,"Democrat","AR",1993,0.098
757,"Democrat","AR",1993,0.138
770,"Republican","AR",1993,0.208
775,"Democrat","AR",1993,0.142
795,"Democrat","AR",1993,0.214
800,"Democrat","AR",1993,-0.006
814,"Democrat","AR",1993,0.22
818,"Democrat","AR",1993,-0.019
820,"Democrat","AR",1993,-0.072
821,"Democrat","AR",1993,0.096
822,"Democrat","AR",1993,0.218
830,"Democrat","AR",1993,0.082
832,"Democrat","AR",1993,0.314
834,"Democrat","AR",1993,0.159
838,"Democrat","AR",1993,0.179
839,"Democrat","AR",1993,0.217
844,"Republican","AR",1993,0.239
